,0,1,2,3,addr
163,GWF,INOBS,,,GWF/INOBS
164,GWF,ISS,,,GWF/ISS
165,GWF,INEWTONUR,,,GWF/INEWTONUR
166,GWF,DIS,INUNIT,,GWF/DIS/INUNIT
167,GWF,DIS,IOUT,,GWF/DIS/IOUT
168,GWF,DIS,NODES,,GWF/DIS/NODES
169,GWF,DIS,NODESUSER,,GWF/DIS/NODESUSER
170,GWF,DIS,NDIM,,GWF/DIS/NDIM
171,GWF,DIS,ICONDIR,,GWF/DIS/ICONDIR
172,GWF,DIS,NOGRB,,GWF/DIS/NOGRB
173,GWF,DIS,XORIGIN,,GWF/DIS/XORIGIN
174,GWF,DIS,YORIGIN,,GWF/DIS/YORIGIN
175,GWF,DIS,ANGROT,,GWF/DIS/ANGROT
176,GWF,DIS,NJA,,GWF/DIS/NJA
177,GWF,DIS,NJAS,,GWF/DIS/NJAS
178,GWF,DIS,LENUNI,,GWF/DIS/LENUNI
179,GWF,DIS,NLAY,,GWF/DIS/NLAY
180,GWF,DIS,NROW,,GWF/DIS/NROW
181,GWF,DIS,NCOL,,GWF/DIS/NCOL
182,GWF,NPF,INPUT_FNAME,,GWF/NPF/INPUT_FNAME
183,GWF,NPF,PACKAGE_TYPE,,GWF/NPF/PACKAGE_TYPE
184,GWF,NPF,ID,,GWF/NPF/ID
185,GWF,NPF,INUNIT,,GWF/NPF/INUNIT
186,GWF,NPF,IOUT,,GWF/NPF/IOUT
187,GWF,NPF,INEWTON,,GWF/NPF/INEWTON
188,GWF,NPF,IASYM,,GWF/NPF/IASYM
189,GWF,NPF,IPRPAK,,GWF/NPF/IPRPAK
190,GWF,NPF,IPRFLOW,,GWF/NPF/IPRFLOW
191,GWF,NPF,IPAKCB,,GWF/NPF/IPAKCB
192,GWF,NPF,IONPER,,GWF/NPF/IONPER
193,GWF,NPF,LASTONPER,,GWF/NPF/LASTONPER
194,GWF,NPF,INAME,,GWF/NPF/INAME
195,GWF,NPF,IXT3D,,GWF/NPF/IXT3D
196,GWF,NPF,IXT3DRHS,,GWF/NPF/IXT3DRHS
197,GWF,NPF,SATOMEGA,,GWF/NPF/SATOMEGA
198,GWF,NPF,HNOFLO,,GWF/NPF/HNOFLO
199,GWF,NPF,HDRY,,GWF/NPF/HDRY
200,GWF,NPF,ICELLAVG,,GWF/NPF/ICELLAVG
201,GWF,NPF,IAVGKEFF,,GWF/NPF/IAVGKEFF
202,GWF,NPF,IK22,,GWF/NPF/IK22
203,GWF,NPF,IK33,,GWF/NPF/IK33
204,GWF,NPF,IK22OVERK,,GWF/NPF/IK22OVERK
205,GWF,NPF,IK33OVERK,,GWF/NPF/IK33OVERK
206,GWF,NPF,IPERCHED,,GWF/NPF/IPERCHED
207,GWF,NPF,IVARCV,,GWF/NPF/IVARCV
208,GWF,NPF,IDEWATCV,,GWF/NPF/IDEWATCV
209,GWF,NPF,ITHICKSTRT,,GWF/NPF/ITHICKSTRT
210,GWF,NPF,IUSGNRHC,,GWF/NPF/IUSGNRHC
211,GWF,NPF,INWTUPW,,GWF/NPF/INWTUPW
212,GWF,NPF,ICALCSPDIS,,GWF/NPF/ICALCSPDIS
213,GWF,NPF,ISAVSPDIS,,GWF/NPF/ISAVSPDIS
214,GWF,NPF,ISAVSAT,,GWF/NPF/ISAVSAT
215,GWF,NPF,IREWET,,GWF/NPF/IREWET
216,GWF,NPF,WETFCT,,GWF/NPF/WETFCT
